,POA_CODE_2016,T_SOLSE_NWNAA_T,A15_24_SOLSE_NWNAA_T,A35_44_SOLSE_NWNAA_T,A65_74_SOLSE_NWNAA_T,Counted_home_Census_Night_Tot,P_SOL_SE_NW_NA_Total,suburbs
172,POA2206,1546,31,60,397,18814,1574,"Earlwood, Undercliffe, Clemton Park"
173,POA2207,2166,52,153,450,27755,2022,"Bexley South, Bexley North, Bexley, Bardwell Park, Bardwell Valley"
174,POA2208,1188,31,56,261,12120,1042,"Kingsway West, Kingsgrove"
175,POA2209,1878,69,166,297,15373,1442,"Beverly Hills, Narwee"
176,POA2210,2688,61,218,445,29723,1829,"Peakhurst, Peakhurst Heights, Lugarno, Riverwood"
177,POA2211,1095,42,92,180,16377,795,"Padstow Heights, Padstow"
178,POA2212,1109,31,99,190,15386,809,"Revesby Heights, Revesby, Revesby North"
179,POA2213,775,11,71,119,21137,561,"Panania, East Hills, Picnic Point"
180,POA2214,56,0,8,10,3839,39,Milperra
181,POA2216,2142,111,154,393,27230,1974,"Rockdale, Kyeemagh, Brighton-Le-Sands, Banksia"
182,POA2217,1787,86,133,322,26078,1514,"Beverley Park, Ramsgate Beach, Kogarah, Kogarah Bay, Monterey, Ramsgate"
183,POA2218,1708,65,113,311,16029,1500,"Allawah, Carlton"
184,POA2219,505,10,25,115,12767,452,"Dolls Point, Sans Souci, Sandringham"
185,POA2220,5475,351,533,719,31681,4225,"Hurstville Grove, Hurstville Westfield, Hurstville"
186,POA2221,1109,29,101,216,15972,810,"Blakehurst, Kyle Bay, Carss Park, South Hurstville, Connells Point"
187,POA2222,1145,54,93,162,12452,923,Penshurst
188,POA2223,910,30,69,168,20215,656,"Mortdale, Oatley"
189,POA2224,366,4,26,60,13746,294,"Kangaroo Point, Sylvania, Sylvania Southgate, Sylvania Waters"
190,POA2225,34,3,0,0,5208,16,Oyster Bay
191,POA2226,135,0,11,19,12013,105,"Jannali, Como, Bonnet Bay"
192,POA2227,135,9,10,27,14071,97,"Gymea Bay, Gymea"
193,POA2228,372,10,39,63,17633,299,"Miranda, Yowie Bay"
194,POA2229,285,10,20,52,27601,220,"Taren Point, Caringbah, Caringbah South, Port Hacking, Dolans Bay, Lilli Pilli"
195,POA2230,145,8,17,25,27393,132,"Greenhills Beach, Burraneer, Maianbar, Woolooware, Bundeena, Cronulla"
196,POA2231,3,0,0,0,2162,11,Kurnell
197,POA2232,396,10,33,68,31716,287,"Audley, Sutherland, Loftus, Kirrawee, Woronora, Kareela, Grays Point"
198,POA2233,99,0,10,22,28543,75,"Waterfall, Woronora Heights, Heathcote, Yarrawarrah, Engadine"
199,POA2234,425,12,27,98,29654,309,"Lucas Heights, Illawong, Menai Central, Menai, Bangor, Alfords Point, Barden Ridge"
